mode,fleet_size,total_requests,completed,cancelled,completion_rate,cancel_rate,avg_assign_wait,avg_wait_time,avg_pickup_time,avg_trip_time,idle_rate,rebalance_actions
baseline,100,150,21,57,0.14,0.38,0.0,339.9047619047619,202.9047619047619,137.0,0.28,0
knn,100,150,84,7,0.56,0.04666666666666667,0.14,249.61904761904762,107.25,142.36904761904762,0.41,0
proposed,100,150,74,8,0.49333333333333335,0.05333333333333334,6.925170068027211,287.35135135135135,106.95945945945945,144.3918918918919,0.21,34
baseline,200,150,31,52,0.20666666666666667,0.3466666666666667,0.0,317.48387096774195,192.74193548387098,124.74193548387096,0.665,0
knn,200,150,92,6,0.6133333333333333,0.04,0.0,197.79347826086956,54.77173913043478,143.02173913043478,0.74,0
proposed,200,150,89,6,0.5933333333333334,0.04,0.02702702702702703,244.51685393258427,73.32584269662921,147.19101123595505,0.33,160
baseline,300,150,29,51,0.19333333333333333,0.34,0.0,323.55172413793105,194.13793103448276,129.41379310344828,0.7666666666666667,0
knn,300,150,96,5,0.64,0.03333333333333333,0.0,191.60416666666666,46.125,145.47916666666666,0.8366666666666667,0
proposed,300,150,93,5,0.62,0.03333333333333333,0.9666666666666667,195.06451612903226,51.11827956989247,143.94623655913978,0.31333333333333335,260
