mode,fleet_size,total_requests,completed,cancelled,completion_rate,cancel_rate,avg_assign_wait,avg_wait_time,avg_pickup_time,avg_trip_time,idle_rate,rebalance_actions,effective_rebalance_rate
baseline,100,1500,199,600,0.1333333333333333,0.4,0.0,411.4,179.6,171.8,0.35,0,0.0
knn,100,1500,840,40,0.56,0.0266666666666666,0.0,249.6,109.98591549295774,166.04225352112675,0.31,0,0.0
proposed,100,1500,877,60,0.585,0.04,2.223776223776224,235.4,119.73134328358208,165.2089552238806,0.15,250,0.24
baseline,200,1500,169,580,0.1133333333333333,0.3866666666666666,0.0,372.2941176470589,160.05882352941177,164.23529411764707,0.645,0,0.0
knn,200,1500,919,20,0.613,0.0133333333333333,0.0,197.8,62.44871794871795,166.16666666666666,0.67,0,0.0
proposed,200,1500,978,40,0.652,0.0266666666666666,0.2602739726027397,185.5,69.91891891891892,170.22972972972974,0.175,1320,0.0606060606060606
baseline,300,1500,219,540,0.1466666666666666,0.36,0.0,386.5,157.5,181.0,0.7666666666666667,0,0.0
knn,300,1500,960,20,0.64,0.0133333333333333,0.0342465753424657,191.6,52.05882352941177,174.2,0.8033333333333333,0,0.0
proposed,300,1500,1027,20,0.685,0.0133333333333333,0.0344827586206896,175.1,58.47368421052632,173.68421052631578,0.1633333333333333,2460,0.0121951219512195
